date,year,month,ym,sido_name,y_hat,base_daily,w_today,y_day_hat,risk_score,risk_level
2024-01-01,2024,1,2024-01,제주,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-02-01,2024,2,2024-02,제주,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-03-01,2024,3,2024-03,제주,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-04-01,2024,4,2024-04,제주,2863.3165969341007,95.44388656447002,1.0,95.44388656447002,100.0,Very High
2024-05-01,2024,5,2024-05,제주,1794.5845749380344,57.88982499800111,1.0,57.88982499800111,38.64616110779408,Moderate
2024-06-01,2024,6,2024-06,제주,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-07-01,2024,7,2024-07,제주,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,제주,2336.032410221535,75.35588420069467,0.9,67.82029578062522,56.31892401881006,High
2024-09-01,2024,9,2024-09,제주,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-10-01,2024,10,2024-10,제주,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-11-01,2024,11,2024-11,제주,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-12-01,2024,12,2024-12,제주,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
